1,0,16.7,36.8,39.7,6781,0.1,72,3.99,N/A,172.368,N/A,N/A,100.368,41.7710944,
,0.6,16.8,38.1,41,6765,0.11,79,4.09,N/A,176.688,N/A,N/A,97.688,44.711582,
,1.2,16.8,39,42.2,6654,0.14,96,4.41,N/A,190.512,N/A,N/A,94.512,50.39052658,
,1.8,17,40.5,44.4,6625,0.19,129,5.19,N/A,224.208,N/A,N/A,95.208,57.53585956,
,2.4,17.3,41.6,46.4,6513,0.26,189,6.53,N/A,282.096,N/A,N/A,93.096,66.99846861,
,3,17.6,42.6,49.2,6313,0.36,239,7.95,N/A,343.44,N/A,N/A,104.44,69.59003028,
,3.6,17.8,43.1,51.5,6055,0.49,307,9.85,N/A,425.52,N/A,N/A,118.52,72.14702012,
,4.2,17.8,43.5,55.4,5886,0.65,395,12.08,N/A,521.856,N/A,N/A,126.856,75.69137846,
,4.8,18,44.1,61.6,5653,0.83,485,15.11,N/A,652.752,N/A,N/A,167.752,74.30080643,
,5,18.2,44.7,72.6,5490,0.89,508,16.19,N/A,699.408,N/A,N/A,191.408,72.63285521,
,5.2,18.2,45.4,80.2,5401,0.96,545,17.41,N/A,752.112,N/A,N/A,207.112,72.46261195,
,5.4,18.5,46.1,88.2,5317,1.03,577,18.65,N/A,805.68,N/A,N/A,228.68,71.61652269,
2,0,24.9,37.7,67.8,7313,0.11,83,6.52,N/A,281.664,N/A,N/A,198.664,29.46773461,
,0.6,25.3,40.8,80.7,7405,0.11,89,6.44,N/A,278.208,N/A,N/A,189.208,31.99045319,
,1.2,25.2,46.1,94.4,7349,0.15,115,7.33,N/A,316.656,N/A,N/A,201.656,36.31701278,
,1.8,25.1,48.4,104.1,7098,0.2,153,8.56,N/A,369.792,N/A,N/A,216.792,41.37461059,
,2.4,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,
,3.6,,,,,,,,,,,,,,
,4.2,,,,,,,,,,,,,,
,4.8,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,
,5.2,,,,,,,,,,,,,,
,5.4,,,,,,,,,,,,,,
3,0,21.6,28.5,35.2,6925,0.1,70,2.87,N/A,123.984,N/A,N/A,53.984,56.45889792,
,0.6,21.5,29.8,37.4,6887,0.11,79,3.1,N/A,133.92,N/A,N/A,54.92,58.99044205,
,1.2,21.7,29.5,37.8,6877,0.14,99,3.54,N/A,152.928,N/A,N/A,53.928,64.73634652,
,1.8,21.7,29.7,38.4,6765,0.19,131,4.37,N/A,188.784,N/A,N/A,57.784,69.39147385,
,2.4,21.7,30.4,39.3,6564,0.26,182,5.58,N/A,241.056,N/A,N/A,59.056,75.50112837,
,3,21.8,30.7,40.3,6460,0.37,246,7.28,N/A,314.496,N/A,N/A,68.496,78.22039072,
,3.6,21.8,31.1,41.9,6200,0.5,325,9.25,N/A,399.6,N/A,N/A,74.6,81.33133133,
,4.2,21.8,31.6,45.4,5942,0.64,395,11.44,N/A,494.208,N/A,N/A,99.208,79.92586118,
,4.8,22,31.9,51.7,5703,0.82,490,14.02,N/A,605.664,N/A,N/A,115.664,80.90294289,
,5,22.2,32.7,61.6,5605,0.86,509,14.85,N/A,641.52,N/A,N/A,132.52,79.34281082,
,5.2,22.2,32.8,67.3,5518,0.93,540,15.9,N/A,686.88,N/A,N/A,146.88,78.6163522,
,5.4,22.2,33.8,74.3,5426,0.99,568,16.89,N/A,729.648,N/A,N/A,161.648,77.84575576,
4,0,22.5,25.1,25.9,6934,0.1,71,2.56,N/A,110.592,N/A,N/A,39.592,64.19994213,
,0.6,22.2,25,26.7,6899,0.1,76,2.64,N/A,114.048,N/A,N/A,38.048,66.63860831,
,1.2,22.6,26.1,28.8,6808,0.13,95,3.11,N/A,134.352,N/A,N/A,39.352,70.7097773,
,1.8,22.1,26.3,29.2,6717,0.18,129,3.96,N/A,171.072,N/A,N/A,42.072,75.40684624,
,2.4,22.3,26.6,29.4,6625,0.26,180,5.25,N/A,226.8,N/A,N/A,46.8,79.36507937,
,3,22.6,27.2,30.1,6440,0.36,241,6.82,N/A,294.624,N/A,N/A,53.624,81.79917454,
,3.6,22.6,27.4,30.5,6260,0.47,306,8.64,N/A,373.248,N/A,N/A,67.248,81.98302469,
